targetId,comparatorId,outcomeId,outcomeName,type
1586,1587,434165,Abnormal cervical smear,outcome
1586,1587,436409,Abnormal pupil,outcome
1586,1587,199192,Abrasion and/or friction burn of trunk without infection,outcome
1586,1587,4088290,Absence of breast,outcome
1586,1587,4092879,Absent kidney,outcome
1586,1587,436634,Acariasis,outcome
1586,1587,44783954,Acid reflux,outcome
1586,1587,75911,Acquired hallux valgus,outcome
1586,1587,137951,Acquired keratoderma,outcome
1586,1587,77965,Acquired trigger finger,outcome
1586,1587,376707,Acute conjunctivitis,outcome
1586,1587,4103640,Amputated foot,outcome
1586,1587,432595,Amyloidosis,outcome
1586,1587,73241,Anal and rectal polyp,outcome
1586,1587,437082,Ankylosing spondylitis,outcome
1586,1587,77650,Aseptic necrosis of bone,outcome
1586,1587,378424,Astigmatism,outcome
1586,1587,374923,Bell's palsy,outcome
1586,1587,4110709,Benign epithelial neoplasm of skin,outcome
1586,1587,133655,Burn of forearm,outcome
1586,1587,73560,Calcaneal spur,outcome
1586,1587,434327,Cannabis abuse,outcome
1586,1587,4213540,Cervical somatic dysfunction,outcome
1586,1587,381581,Chalazion,outcome
1586,1587,140842,Changes in skin texture,outcome
1586,1587,438531,Chondromalacia,outcome
1586,1587,81378,Chondromalacia of patella,outcome
1586,1587,4201390,Colostomy present,outcome
1586,1587,46269889,Complication due to Crohn's disease,outcome
1586,1587,134438,Contact dermatitis,outcome
1586,1587,78619,Contusion of knee,outcome
1586,1587,201606,Crohn's disease,outcome
1586,1587,260134,Croup,outcome
1586,1587,76786,Derangement of knee,outcome
1586,1587,4115402,Difficulty sleeping,outcome
1586,1587,443767,Disorder of eye due to diabetes mellitus,outcome
1586,1587,45757370,Disproportion of reconstructed breast,outcome
1586,1587,433111,Effects of hunger,outcome
1586,1587,441589,Endocarditis,outcome
1586,1587,200775,Endometrial hyperplasia,outcome
1586,1587,433527,Endometriosis (clinical),outcome
1586,1587,73008,Enthesopathy,outcome
1586,1587,4249170,Epicondylitis,outcome
1586,1587,4170770,Epidermoid cyst,outcome
1586,1587,4092896,Feces contents abnormal,outcome
